module,method,path,purpose,auth,guards,pathParams,queryParams,requestSchema,requestFields,statusCodes,responseFormats,sourceFile
billing,GET,/api/billing/invoices/export,Export data,session_cookie,requireCompanyRole,,companyId,,,400|401|403,csv|json,src/app/api/billing/invoices/export/route.ts
billing,GET,/api/billing/payment-methods,Read data,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,paymentMethodSchema (src/lib/validators/billing.ts),brand|companyId|expMonth|expYear|isDefault|last4|token|type,400|401|403,json,src/app/api/billing/payment-methods/route.ts
billing,POST,/api/billing/payment-methods,Create or execute action,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,paymentMethodSchema (src/lib/validators/billing.ts),brand|companyId|expMonth|expYear|isDefault|last4|token|type,400|401|403,json,src/app/api/billing/payment-methods/route.ts
billing,DELETE,/api/billing/payment-methods/{paymentMethodId},Delete or revoke data,session_cookie,requireCompanyRole,paymentMethodId,companyId,paymentMethodUpdateSchema (src/lib/validators/billing.ts),companyId|isDefault,400|401|403,json,src/app/api/billing/payment-methods/[paymentMethodId]/route.ts
billing,PATCH,/api/billing/payment-methods/{paymentMethodId},Update existing data,session_cookie,requireCompanyRole,paymentMethodId,companyId,paymentMethodUpdateSchema (src/lib/validators/billing.ts),companyId|isDefault,400|401|403,json,src/app/api/billing/payment-methods/[paymentMethodId]/route.ts
billing,GET,/api/billing/payment-methods/export,Export data,session_cookie,requireCompanyRole,,companyId,,,400|401|403,csv|json,src/app/api/billing/payment-methods/export/route.ts
billing,GET,/api/billing/plans,Read data,session_cookie,requireAdminAccess,,companyId|includeInactive,billingPlanSchema (src/lib/validators/billing.ts),code|companyId|currency|description|graceDays|isActive|isDefault|maxCompanies|maxUsers|modules|name|priceMonthly|priceYearly|trialDays,400|401|403,json,src/app/api/billing/plans/route.ts
billing,POST,/api/billing/plans,Create or execute action,session_cookie,requireAdminAccess,,companyId|includeInactive,billingPlanSchema (src/lib/validators/billing.ts),code|companyId|currency|description|graceDays|isActive|isDefault|maxCompanies|maxUsers|modules|name|priceMonthly|priceYearly|trialDays,400|401|403,json,src/app/api/billing/plans/route.ts
billing,DELETE,/api/billing/plans/{planId},Delete or revoke data,session_cookie,requireCompanyRole,planId,companyId,billingPlanUpdateSchema (src/lib/validators/billing.ts),,400|401|403,json,src/app/api/billing/plans/[planId]/route.ts
billing,PATCH,/api/billing/plans/{planId},Update existing data,session_cookie,requireCompanyRole,planId,companyId,billingPlanUpdateSchema (src/lib/validators/billing.ts),,400|401|403,json,src/app/api/billing/plans/[planId]/route.ts
billing,GET,/api/billing/subscription,Read data,session_cookie,requireAdminAccess,,companyId,subscriptionOverrideSchema (src/lib/validators/billing.ts)|subscriptionUpdateSchema (src/lib/validators/billing.ts),billingCycle|companyId|planId|status,400|401|403,json,src/app/api/billing/subscription/route.ts
billing,PATCH,/api/billing/subscription,Update existing data,session_cookie,requireAdminAccess,,companyId,subscriptionOverrideSchema (src/lib/validators/billing.ts)|subscriptionUpdateSchema (src/lib/validators/billing.ts),billingCycle|companyId|planId|status,400|401|403,json,src/app/api/billing/subscription/route.ts
billing,POST,/api/billing/subscription,Create or execute action,session_cookie,requireAdminAccess,,companyId,subscriptionOverrideSchema (src/lib/validators/billing.ts)|subscriptionUpdateSchema (src/lib/validators/billing.ts),billingCycle|companyId|planId|status,400|401|403,json,src/app/api/billing/subscription/route.ts
billing,POST,/api/billing/subscription/cancel,Cancel entity workflow state,session_cookie,requireCompanyRole,,,subscriptionCancelSchema (src/lib/validators/billing.ts),cancelAtPeriodEnd|companyId,400|401|403|404,json,src/app/api/billing/subscription/cancel/route.ts
billing,POST,/api/billing/subscription/reactivate,Create or execute action,session_cookie,requireCompanyRole,,,subscriptionReactivateSchema (src/lib/validators/billing.ts),companyId,400|401|403|404,json,src/app/api/billing/subscription/reactivate/route.ts
bills,GET,/api/bills,Read data,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId|from|maxTotal|minTotal|overdue|q|status|to|vendorId,billSchema (src/lib/validators/purchases.ts),billDate|companyId|currency|dueDate|lines|notes|paymentTermId|status|vendorBillNumber|vendorId,400|401|403,json,src/app/api/bills/route.ts
bills,POST,/api/bills,Create or execute action,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId|from|maxTotal|minTotal|overdue|q|status|to|vendorId,billSchema (src/lib/validators/purchases.ts),billDate|companyId|currency|dueDate|lines|notes|paymentTermId|status|vendorBillNumber|vendorId,400|401|403,json,src/app/api/bills/route.ts
bills,GET,/api/bills/{billId},Read data,session_cookie,requireAccountingAccess|requireCompanyRole,billId,,billUpdateSchema (src/lib/validators/purchases.ts),billDate|currency|dueDate|lines|notes|paymentTermId|vendorBillNumber|vendorId,400|401|403|404,json,src/app/api/bills/[billId]/route.ts
bills,PUT,/api/bills/{billId},Update existing data,session_cookie,requireAccountingAccess|requireCompanyRole,billId,,billUpdateSchema (src/lib/validators/purchases.ts),billDate|currency|dueDate|lines|notes|paymentTermId|vendorBillNumber|vendorId,400|401|403|404,json,src/app/api/bills/[billId]/route.ts
bills,POST,/api/bills/{billId}/approve,Approve entity workflow state,session_cookie,requireCompanyRole,billId,,,,400|401|403|404,json,src/app/api/bills/[billId]/approve/route.ts
bills,GET,/api/bills/{billId}/attachments,Read data,session_cookie,requireAccountingAccess|requireCompanyRole,billId,,billAttachmentSchema (src/lib/validators/purchases.ts),companyId|content|contentType|name|size|storage|url,400|401|403|404,json,src/app/api/bills/[billId]/attachments/route.ts
bills,POST,/api/bills/{billId}/attachments,Create or execute action,session_cookie,requireAccountingAccess|requireCompanyRole,billId,,billAttachmentSchema (src/lib/validators/purchases.ts),companyId|content|contentType|name|size|storage|url,400|401|403|404,json,src/app/api/bills/[billId]/attachments/route.ts
bills,DELETE,/api/bills/{billId}/attachments/{attachmentId},Delete or revoke data,session_cookie,requireCompanyRole,attachmentId|billId,,,,401|403|404,json,src/app/api/bills/[billId]/attachments/[attachmentId]/route.ts
bills,POST,/api/bills/{billId}/cancel,Cancel entity workflow state,session_cookie,requireCompanyRole,billId,,,,400|401|403|404,json,src/app/api/bills/[billId]/cancel/route.ts
bills,GET,/api/bills/{billId}/payments,Read data,session_cookie,requireCompanyRole,billId,,billPaymentSchema (src/lib/validators/purchases.ts),accountId|amount|companyId|method|paymentDate|reference,400|401|403|404,json,src/app/api/bills/[billId]/payments/route.ts
bills,POST,/api/bills/{billId}/payments,Create or execute action,session_cookie,requireCompanyRole,billId,,billPaymentSchema (src/lib/validators/purchases.ts),accountId|amount|companyId|method|paymentDate|reference,400|401|403|404,json,src/app/api/bills/[billId]/payments/route.ts
bills,GET,/api/bills/export,Export data,session_cookie,requireAccountingAccess,,companyId,,,400|401|403,csv|json,src/app/api/bills/export/route.ts
cash-bank-accounts,GET,/api/cash-bank-accounts,Read data,session_cookie,requireAccountingAccess|requireCompanyRole,,companyId,cashBankAccountSchema (src/lib/validators/payments.ts),accountId|bankName|companyId|iban|name|openingBalance|status|type,400|401|403,json,src/app/api/cash-bank-accounts/route.ts
